ID,Postal_Code,Locality,Type_of_property,Subtype_of_property,Price,Type_of_sale,Number_of_rooms,Living_Area,Fully_equipped_kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_land,Number_of_facades,Swimming_pool,State_of_the_building,Surface_area_plot_land
20323479.0,3500.0,Hasselt,APARTMENT,APARTMENT,215000.0,Not specified,2.0,75.0,INSTALLED,2,1,0,2.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323477.0,3500.0,Hasselt,HOUSE,HOUSE,399000.0,Not specified,5.0,331.0,INSTALLED,2,1,0,0.0,1,0.0,1047.0,4.0,0,GOOD,1047.0
20323473.0,3500.0,Hasselt,HOUSE,HOUSE,295000.0,Not specified,3.0,142.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323482.0,3500.0,Hasselt,APARTMENT,APARTMENT,279000.0,Not specified,3.0,120.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323499.0,3500.0,Hasselt,HOUSE,HOUSE,368000.0,Not specified,3.0,159.0,INSTALLED,2,1,1,0.0,1,0.0,3036.0,1.0,0,GOOD,3036.0
20323495.0,3500.0,Hasselt,HOUSE,MIXED_USE_BUILDING,790000.0,Not specified,4.0,425.0,INSTALLED,2,1,0,0.0,1,0.0,6700.0,4.0,0,AS_NEW,6700.0
20323472.0,3500.0,Hasselt,HOUSE,MIXED_USE_BUILDING,595000.0,Not specified,2.0,405.0,USA_HYPER_EQUIPPED,2,0,1,0.0,1,0.0,260.0,2.0,0,JUST_RENOVATED,260.0
20323470.0,3500.0,Hasselt,APARTMENT,APARTMENT,335000.0,Not specified,2.0,95.0,INSTALLED,2,1,0,10.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323490.0,3500.0,Hasselt,HOUSE,HOUSE,279000.0,Not specified,2.0,94.0,NOT_INSTALLED,2,1,1,0.0,1,0.0,9744.0,3.0,0,TO_RENOVATE,9744.0
20323467.0,3500.0,Hasselt,HOUSE,HOUSE,394657.0,Not specified,3.0,140.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323469.0,3500.0,Hasselt,HOUSE,BUNGALOW,379000.0,Not specified,3.0,193.0,INSTALLED,2,0,0,0.0,1,0.0,1323.0,4.0,0,GOOD,1323.0
20323511.0,3500.0,Hasselt,HOUSE,HOUSE,449000.0,Not specified,4.0,176.0,HYPER_EQUIPPED,2,1,0,0.0,1,0.0,365.0,3.0,0,GOOD,365.0
20323468.0,3500.0,Hasselt,HOUSE,HOUSE,295000.0,Not specified,3.0,205.0,USA_SEMI_EQUIPPED,2,1,1,0.0,1,0.0,1335.0,4.0,0,GOOD,1335.0
20323466.0,3500.0,Hasselt,HOUSE,HOUSE,325000.0,Not specified,4.0,129.0,INSTALLED,2,1,0,0.0,1,0.0,178.0,2.0,0,GOOD,178.0
20323480.0,3500.0,Hasselt,HOUSE,HOUSE,695000.0,Not specified,3.0,237.0,INSTALLED,2,1,0,0.0,1,0.0,610.0,3.0,0,JUST_RENOVATED,610.0
20323465.0,3500.0,Hasselt,HOUSE,HOUSE,335000.0,Not specified,3.0,131.0,SEMI_EQUIPPED,2,1,0,25.0,1,0.0,1145.0,4.0,0,GOOD,1145.0
20323475.0,3500.0,Hasselt,HOUSE,HOUSE,499000.0,Not specified,3.0,190.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323463.0,3500.0,Hasselt,APARTMENT,APARTMENT,175000.0,Not specified,1.0,112.0,SEMI_EQUIPPED,2,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323461.0,3500.0,Hasselt,HOUSE,HOUSE,440000.0,Not specified,3.0,194.0,INSTALLED,2,1,1,0.0,1,0.0,109.0,1.0,0,GOOD,109.0
20323462.0,3500.0,Hasselt,APARTMENT,APARTMENT,225000.0,Not specified,2.0,90.0,INSTALLED,2,1,0,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20294422.0,9300.0,Aalst,APARTMENT,APARTMENT,179000.0,Not specified,1.0,69.0,INSTALLED,2,1,0,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295079.0,1180.0,Uccle,APARTMENT,APARTMENT,259000.0,Not specified,2.0,86.0,NOT_INSTALLED,1,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295081.0,1180.0,Uccle,APARTMENT,APARTMENT,265000.0,Not specified,2.0,86.0,NOT_INSTALLED,1,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295077.0,1180.0,Uccle,APARTMENT,APARTMENT,265000.0,Not specified,2.0,86.0,NOT_INSTALLED,1,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295034.0,1180.0,Uccle,APARTMENT,APARTMENT,295000.0,Not specified,2.0,86.0,SEMI_EQUIPPED,1,1,0,23.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295103.0,1180.0,Uccle,APARTMENT,APARTMENT,299000.0,Not specified,3.0,105.0,NOT_INSTALLED,1,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295074.0,1180.0,Uccle,APARTMENT,APARTMENT,299000.0,Not specified,3.0,105.0,NOT_INSTALLED,1,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295087.0,1180.0,Uccle,APARTMENT,APARTMENT,325000.0,Not specified,3.0,105.0,NOT_INSTALLED,1,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295050.0,1180.0,Uccle,APARTMENT,APARTMENT,415000.0,Not specified,1.0,123.0,INSTALLED,1,1,0,5.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295054.0,1180.0,Uccle,APARTMENT,DUPLEX,425000.0,Not specified,2.0,110.0,INSTALLED,1,1,0,16.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20295045.0,1180.0,Uccle,APARTMENT,DUPLEX,495000.0,Not specified,2.0,146.0,INSTALLED,1,1,0,12.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323206.0,9200.0,Dendermonde,HOUSE,HOUSE,579000.0,Not specified,3.0,198.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20303717.0,3000.0,Leuven,HOUSE,HOUSE,315000.0,Not specified,3.0,168.0,INSTALLED,1,1,0,0.0,1,0.0,878.0,1.0,0,TO_RENOVATE,878.0
20323456.0,9200.0,Dendermonde,HOUSE,HOUSE,199000.0,Not specified,2.0,114.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323452.0,2650.0,Edegem,HOUSE,HOUSE,314000.0,Not specified,3.0,127.0,INSTALLED,2,1,0,5.0,0,20.0,104.0,2.0,0,GOOD,104.0
20323450.0,1370.0,Jodoigne,HOUSE,HOUSE,185000.0,Not specified,2.0,165.0,Does not specify,2,1,1,0.0,1,0.0,290.0,4.0,0,TO_RENOVATE,290.0
20323449.0,8400.0,Oostende,HOUSE,HOUSE,349000.0,Not specified,4.0,254.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323442.0,1200.0,Woluwé-St-Lambert,APARTMENT,APARTMENT,220000.0,Not specified,1.0,45.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323440.0,2650.0,Edegem,HOUSE,HOUSE,299000.0,Not specified,3.0,195.0,SEMI_EQUIPPED,2,1,1,0.0,0,45.0,166.0,3.0,0,TO_RENOVATE,166.0
20323436.0,1000.0,Bruxelles ville,APARTMENT,DUPLEX,499000.0,Not specified,3.0,140.0,INSTALLED,2,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323431.0,9160.0,Lokeren,HOUSE,HOUSE,269000.0,Not specified,4.0,157.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323427.0,2400.0,Mol,HOUSE,HOUSE,385000.0,Not specified,3.0,207.0,Does not specify,2,1,1,0.0,1,0.0,953.0,4.0,0,Does not specify,953.0
20323425.0,2650.0,Edegem,HOUSE,APARTMENT_BLOCK,678000.0,Not specified,3.0,208.0,SEMI_EQUIPPED,2,1,1,0.0,1,0.0,0.0,1.0,0,JUST_RENOVATED,0.0
20323424.0,2650.0,Edegem,APARTMENT,DUPLEX,389000.0,Not specified,2.0,113.0,SEMI_EQUIPPED,2,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323422.0,2650.0,Edegem,APARTMENT,APARTMENT,289000.0,Not specified,1.0,64.0,SEMI_EQUIPPED,2,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20222920.0,8450.0,Bredene,APARTMENT,DUPLEX,245000.0,Not specified,4.0,120.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20257788.0,8520.0,Kuurne,HOUSE,HOUSE,78000.0,Not specified,0.0,125.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20022112.0,8740.0,Pittem,HOUSE,HOUSE,78000.0,Not specified,0.0,125.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323420.0,9080.0,Lochristi,HOUSE,VILLA,399000.0,Not specified,3.0,113.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20277645.0,8870.0,Izegem,HOUSE,HOUSE,495000.0,Not specified,4.0,224.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323384.0,1473.0,Glabais,HOUSE,HOUSE,650000.0,Under_Option,4.0,307.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20298874.0,4100.0,Seraing,HOUSE,HOUSE,349000.0,Not specified,3.0,133.0,INSTALLED,2,1,0,112.0,0,300.0,540.0,2.0,0,AS_NEW,540.0
20298161.0,1070.0,Anderlecht,HOUSE,HOUSE,495000.0,Not specified,3.0,240.0,INSTALLED,1,1,0,13.0,0,50.0,125.0,2.0,1,GOOD,125.0
20299007.0,1180.0,Uccle,HOUSE,VILLA,1195000.0,Not specified,5.0,395.0,HYPER_EQUIPPED,1,1,0,96.0,0,820.0,1063.0,4.0,1,AS_NEW,1063.0
20302599.0,8200.0,Brugge,APARTMENT,APARTMENT,135000.0,Not specified,1.0,37.0,SEMI_EQUIPPED,2,1,0,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20302664.0,9620.0,Zottegem,APARTMENT,APARTMENT,169000.0,Not specified,2.0,111.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20305154.0,3000.0,Leuven,APARTMENT,APARTMENT,239000.0,Not specified,1.0,47.0,INSTALLED,0,1,0,2.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20301029.0,9620.0,Zottegem,APARTMENT,APARTMENT,339000.0,Not specified,2.0,121.0,Does not specify,1,1,0,7.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20302610.0,9090.0,Melle,APARTMENT,APARTMENT,399000.0,Not specified,2.0,142.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20304789.0,1410.0,Waterloo,APARTMENT,APARTMENT,645000.0,Not specified,3.0,165.0,INSTALLED,1,1,0,6.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20302344.0,9000.0,Gent,APARTMENT,APARTMENT,895000.0,Not specified,2.0,146.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20321326.0,8600.0,Diksmuide,APARTMENT,APARTMENT,295850.0,Newly_Built,2.0,92.0,INSTALLED,1,1,0,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20321323.0,8600.0,Diksmuide,APARTMENT,APARTMENT,337665.0,Newly_Built,2.0,93.0,INSTALLED,1,1,0,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20320853.0,2000.0,Antwerpen,APARTMENT,GROUND_FLOOR,369000.0,Not specified,3.0,105.0,INSTALLED,2,1,1,0.0,0,163.0,0.0,1.0,0,Does not specify,0.0
20288668.0,2800.0,Mechelen,HOUSE,HOUSE,576000.0,Not specified,3.0,204.0,INSTALLED,2,1,0,20.0,0,120.0,300.0,3.0,0,GOOD,300.0
20323330.0,8200.0,Brugge,HOUSE,HOUSE,339000.0,Not specified,3.0,225.0,HYPER_EQUIPPED,1,1,0,100.0,0,268.0,384.0,3.0,1,GOOD,384.0
20315993.0,1850.0,Grimbergen,HOUSE,HOUSE,495000.0,Not specified,3.0,130.0,INSTALLED,2,1,1,0.0,1,0.0,175.0,2.0,0,GOOD,175.0
20321451.0,9000.0,Gand,HOUSE,HOUSE,498000.0,Not specified,3.0,204.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20321450.0,9000.0,Gand,HOUSE,HOUSE,498000.0,Not specified,3.0,204.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323373.0,2840.0,Rumst,APARTMENT,APARTMENT,249000.0,Not specified,2.0,95.0,INSTALLED,2,1,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323368.0,6200.0,Châtelet,HOUSE,APARTMENT_BLOCK,649000.0,Not specified,9.0,500.0,Does not specify,2,2,1,0.0,1,0.0,0.0,1.0,0,Does not specify,0.0
20323367.0,3090.0,Overijse,HOUSE,VILLA,849000.0,Not specified,5.0,355.0,Does not specify,1,1,0,0.0,1,0.0,2048.0,4.0,1,GOOD,2048.0
20323363.0,9220.0,Hamme,HOUSE,HOUSE,299000.0,Not specified,2.0,226.0,INSTALLED,1,1,1,0.0,1,0.0,681.0,1.0,0,Does not specify,681.0
